Sample ID,Sample resolution [m],state
114681044646_0.25,0.25,1
114681044646_0.2,0.2,1
114681044646_0.15,0.15,1
114681044646_0.1,0.1,1
114681044646_0.05,0.05,1
115042954014_0.25,0.25,1
115042954014_0.2,0.2,1
115042954014_0.15,0.15,1
115042954014_0.1,0.1,1
115042954014_0.05,0.05,1
115674088181_0.25,0.25,1
115674088181_0.2,0.2,1
115674088181_0.15,0.15,1
115674088181_0.1,0.1,1
115674088181_0.05,0.05,1
115849798552_0.25,0.25,1
115849798552_0.2,0.2,1
115849798552_0.15,0.15,1
115849798552_0.1,0.1,1
115849798552_0.05,0.05,1
116160996658_0.25,0.25,1
116160996658_0.2,0.2,1
116160996658_0.15,0.15,1
116160996658_0.1,0.1,1
116160996658_0.05,0.05,1
116164786843_0.25,0.25,1
116164786843_0.2,0.2,1
116164786843_0.15,0.15,1
116164786843_0.1,0.1,1
116164786843_0.05,0.05,1
116272046506_0.25,0.25,1
116272046506_0.2,0.2,1
116272046506_0.15,0.15,1
116272046506_0.1,0.1,1
116272046506_0.05,0.05,1
116294733578_0.25,0.25,1
116294733578_0.2,0.2,1
116294733578_0.15,0.15,1
116294733578_0.1,0.1,1
116294733578_0.05,0.05,1
116446769318_0.25,0.25,1
116446769318_0.2,0.2,1
116446769318_0.15,0.15,1
116446769318_0.1,0.1,1
116446769318_0.05,0.05,1
116805863995_0.25,0.25,1
116805863995_0.2,0.2,1
116805863995_0.15,0.15,1
116805863995_0.1,0.1,1
116805863995_0.05,0.05,1
117049836547_0.25,0.25,1
117049836547_0.2,0.2,1
117049836547_0.15,0.15,1
117049836547_0.1,0.1,1
117049836547_0.05,0.05,2
117062609643_0.25,0.25,1
117062609643_0.2,0.2,1
117062609643_0.15,0.15,1
117062609643_0.1,0.1,1
117062609643_0.05,0.05,1
117246719976_0.25,0.25,1
117246719976_0.2,0.2,1
117246719976_0.15,0.15,1
117246719976_0.1,0.1,1
117246719976_0.05,0.05,1
117871824034_0.25,0.25,1
117871824034_0.2,0.2,1
117871824034_0.15,0.15,1
117871824034_0.1,0.1,1
117871824034_0.05,0.05,1
117893116595_0.25,0.25,1
117893116595_0.2,0.2,1
117893116595_0.15,0.15,1
117893116595_0.1,0.1,1
117893116595_0.05,0.05,2
118172349801_0.25,0.25,1
118172349801_0.2,0.2,1
118172349801_0.15,0.15,1
118172349801_0.1,0.1,1
118172349801_0.05,0.05,1
118173677450_0.25,0.25,1
118173677450_0.2,0.2,1
118173677450_0.15,0.15,1
118173677450_0.1,0.1,1
118173677450_0.05,0.05,1
118434277362_0.25,0.25,1
118434277362_0.2,0.2,1
118434277362_0.15,0.15,1
118434277362_0.1,0.1,1
118434277362_0.05,0.05,1
118508885299_0.25,0.25,1
118508885299_0.2,0.2,1
118508885299_0.15,0.15,1
118508885299_0.1,0.1,1
118508885299_0.05,0.05,1
118524769491_0.25,0.25,1
118524769491_0.2,0.2,1
118524769491_0.15,0.15,1
118524769491_0.1,0.1,1
118524769491_0.05,0.05,1
118783523581_0.25,0.25,1
118783523581_0.2,0.2,1
118783523581_0.15,0.15,1
118783523581_0.1,0.1,1
118783523581_0.05,0.05,1
118900079187_0.25,0.25,1
118900079187_0.2,0.2,1
118900079187_0.15,0.15,1
118900079187_0.1,0.1,1
118900079187_0.05,0.05,2
119060627739_0.25,0.25,1
119060627739_0.2,0.2,1
119060627739_0.15,0.15,1
119060627739_0.1,0.1,1
119060627739_0.05,0.05,1
119152263154_0.25,0.25,1
119152263154_0.2,0.2,1
119152263154_0.15,0.15,1
119152263154_0.1,0.1,1
119152263154_0.05,0.05,1
119231052380_0.25,0.25,1
119231052380_0.2,0.2,1
119231052380_0.15,0.15,1
119231052380_0.1,0.1,1
119231052380_0.05,0.05,1
119283738553_0.25,0.25,1
119283738553_0.2,0.2,1
119283738553_0.15,0.15,1
119283738553_0.1,0.1,1
119283738553_0.05,0.05,1
119551739523_0.25,0.25,1
119551739523_0.2,0.2,1
119551739523_0.15,0.15,1
119551739523_0.1,0.1,1
119551739523_0.05,0.05,1
119657382371_0.25,0.25,1
119657382371_0.2,0.2,1
119657382371_0.15,0.15,1
119657382371_0.1,0.1,1
119657382371_0.05,0.05,1
119895338192_0.25,0.25,1
119895338192_0.2,0.2,1
119895338192_0.15,0.15,1
119895338192_0.1,0.1,1
119895338192_0.05,0.05,1
120192878798_0.25,0.25,1
120192878798_0.2,0.2,1
120192878798_0.15,0.15,1
120192878798_0.1,0.1,1
120192878798_0.05,0.05,1
120278139274_0.25,0.25,1
120278139274_0.2,0.2,1
120278139274_0.15,0.15,1
120278139274_0.1,0.1,1
120278139274_0.05,0.05,1
120281284341_0.25,0.25,1
120281284341_0.2,0.2,1
120281284341_0.15,0.15,1
120281284341_0.1,0.1,1
120281284341_0.05,0.05,2
120522243453_0.25,0.25,1
120522243453_0.2,0.2,1
120522243453_0.15,0.15,1
120522243453_0.1,0.1,1
120522243453_0.05,0.05,1
120608032349_0.25,0.25,1
120608032349_0.2,0.2,1
120608032349_0.15,0.15,1
120608032349_0.1,0.1,1
120608032349_0.05,0.05,1
120675656005_0.25,0.25,1
120675656005_0.2,0.2,1
120675656005_0.15,0.15,1
120675656005_0.1,0.1,1
120675656005_0.05,0.05,1
121179041536_0.25,0.25,1
121179041536_0.2,0.2,1
121179041536_0.15,0.15,1
121179041536_0.1,0.1,1
121179041536_0.05,0.05,1
121197435958_0.25,0.25,1
121197435958_0.2,0.2,1
121197435958_0.15,0.15,1
121197435958_0.1,0.1,1
121197435958_0.05,0.05,1
121357292313_0.25,0.25,1
121357292313_0.2,0.2,1
121357292313_0.15,0.15,1
121357292313_0.1,0.1,1
121357292313_0.05,0.05,1
121631815082_0.25,0.25,1
121631815082_0.2,0.2,1
121631815082_0.15,0.15,1
121631815082_0.1,0.1,1
121631815082_0.05,0.05,1
121899236050_0.25,0.25,1
121899236050_0.2,0.2,1
121899236050_0.15,0.15,1
121899236050_0.1,0.1,1
121899236050_0.05,0.05,1
122192288679_0.25,0.25,1
122192288679_0.2,0.2,1
122192288679_0.15,0.15,1
122192288679_0.1,0.1,1
122192288679_0.05,0.05,1
122215140219_0.25,0.25,1
122215140219_0.2,0.2,1
122215140219_0.15,0.15,1
122215140219_0.1,0.1,1
122215140219_0.05,0.05,1
122754710608_0.25,0.25,1
122754710608_0.2,0.2,1
122754710608_0.15,0.15,1
122754710608_0.1,0.1,1
122754710608_0.05,0.05,1
123024533943_0.25,0.25,1
123024533943_0.2,0.2,1
123024533943_0.15,0.15,1
123024533943_0.1,0.1,1
123024533943_0.05,0.05,1
123062620659_0.25,0.25,1
123062620659_0.2,0.2,1
123062620659_0.15,0.15,1
123062620659_0.1,0.1,1
123062620659_0.05,0.05,1
123081238666_0.25,0.25,1
123081238666_0.2,0.2,1
123081238666_0.15,0.15,1
123081238666_0.1,0.1,1
123081238666_0.05,0.05,1
123222338555_0.25,0.25,1
123222338555_0.2,0.2,1
123222338555_0.15,0.15,1
123222338555_0.1,0.1,1
123222338555_0.05,0.05,1
123387421968_0.25,0.25,1
123387421968_0.2,0.2,1
123387421968_0.15,0.15,1
123387421968_0.1,0.1,1
123387421968_0.05,0.05,1
123440740507_0.25,0.25,1
123440740507_0.2,0.2,1
123440740507_0.15,0.15,1
123440740507_0.1,0.1,1
123440740507_0.05,0.05,2
123886309132_0.25,0.25,1
123886309132_0.2,0.2,1
123886309132_0.15,0.15,1
123886309132_0.1,0.1,1
123886309132_0.05,0.05,1
123994015920_0.25,0.25,1
123994015920_0.2,0.2,1
123994015920_0.15,0.15,1
123994015920_0.1,0.1,1
123994015920_0.05,0.05,1
124040762551_0.25,0.25,1
124040762551_0.2,0.2,1
124040762551_0.15,0.15,1
124040762551_0.1,0.1,1
124040762551_0.05,0.05,1
124136520788_0.25,0.25,1
124136520788_0.2,0.2,1
124136520788_0.15,0.15,1
124136520788_0.1,0.1,1
124136520788_0.05,0.05,1
124366376311_0.25,0.25,1
124366376311_0.2,0.2,1
124366376311_0.15,0.15,1
124366376311_0.1,0.1,1
124366376311_0.05,0.05,1
124434481254_0.25,0.25,1
124434481254_0.2,0.2,1
124434481254_0.15,0.15,1
124434481254_0.1,0.1,1
124434481254_0.05,0.05,1
124479844509_0.25,0.25,1
124479844509_0.2,0.2,1
124479844509_0.15,0.15,1
124479844509_0.1,0.1,1
124479844509_0.05,0.05,1
124519165733_0.25,0.25,1
124519165733_0.2,0.2,1
124519165733_0.15,0.15,1
124519165733_0.1,0.1,1
124519165733_0.05,0.05,1
124528364948_0.25,0.25,1
124528364948_0.2,0.2,1
124528364948_0.15,0.15,1
124528364948_0.1,0.1,1
124528364948_0.05,0.05,1
124538754389_0.25,0.25,1
124538754389_0.2,0.2,1
124538754389_0.15,0.15,1
124538754389_0.1,0.1,1
124538754389_0.05,0.05,1
124549084823_0.25,0.25,1
124549084823_0.2,0.2,1
124549084823_0.15,0.15,1
124549084823_0.1,0.1,1
124549084823_0.05,0.05,1
124825658066_0.25,0.25,1
124825658066_0.2,0.2,1
124825658066_0.15,0.15,1
124825658066_0.1,0.1,1
124825658066_0.05,0.05,1
124849415316_0.25,0.25,1
124849415316_0.2,0.2,1
124849415316_0.15,0.15,1
124849415316_0.1,0.1,1
124849415316_0.05,0.05,1
124970018130_0.25,0.25,1
124970018130_0.2,0.2,1
124970018130_0.15,0.15,1
124970018130_0.1,0.1,1
124970018130_0.05,0.05,1
125012256542_0.25,0.25,1
125012256542_0.2,0.2,1
125012256542_0.15,0.15,1
125012256542_0.1,0.1,1
125012256542_0.05,0.05,1
125035504974_0.25,0.25,1
125035504974_0.2,0.2,1
125035504974_0.15,0.15,1
125035504974_0.1,0.1,1
125035504974_0.05,0.05,1
125580970890_0.25,0.25,1
125580970890_0.2,0.2,1
125580970890_0.15,0.15,1
125580970890_0.1,0.1,1
125580970890_0.05,0.05,1
125771890456_0.25,0.25,1
125771890456_0.2,0.2,1
125771890456_0.15,0.15,1
125771890456_0.1,0.1,1
125771890456_0.05,0.05,1
125789247387_0.25,0.25,1
125789247387_0.2,0.2,1
125789247387_0.15,0.15,1
125789247387_0.1,0.1,1
125789247387_0.05,0.05,1
125986561833_0.25,0.25,1
125986561833_0.2,0.2,1
125986561833_0.15,0.15,1
125986561833_0.1,0.1,1
125986561833_0.05,0.05,1
126047664115_0.25,0.25,1
126047664115_0.2,0.2,1
126047664115_0.15,0.15,1
126047664115_0.1,0.1,1
126047664115_0.05,0.05,2
126204479762_0.25,0.25,1
126204479762_0.2,0.2,1
126204479762_0.15,0.15,1
126204479762_0.1,0.1,1
126204479762_0.05,0.05,1
126523286425_0.25,0.25,1
126523286425_0.2,0.2,1
126523286425_0.15,0.15,1
126523286425_0.1,0.1,1
126523286425_0.05,0.05,1
126565684450_0.25,0.25,1
126565684450_0.2,0.2,1
126565684450_0.15,0.15,1
126565684450_0.1,0.1,1
126565684450_0.05,0.05,1
126649855275_0.25,0.25,1
126649855275_0.2,0.2,1
126649855275_0.15,0.15,1
126649855275_0.1,0.1,1
126649855275_0.05,0.05,1
126756680114_0.25,0.25,1
126756680114_0.2,0.2,1
126756680114_0.15,0.15,1
126756680114_0.1,0.1,1
126756680114_0.05,0.05,2
126762414678_0.25,0.25,1
126762414678_0.2,0.2,1
126762414678_0.15,0.15,1
126762414678_0.1,0.1,1
126762414678_0.05,0.05,1
126857726163_0.25,0.25,1
126857726163_0.2,0.2,1
126857726163_0.15,0.15,1
126857726163_0.1,0.1,1
126857726163_0.05,0.05,1
126864790659_0.25,0.25,1
126864790659_0.2,0.2,1
126864790659_0.15,0.15,1
126864790659_0.1,0.1,1
126864790659_0.05,0.05,1
127022186118_0.25,0.25,1
127022186118_0.2,0.2,1
127022186118_0.15,0.15,1
127022186118_0.1,0.1,1
127022186118_0.05,0.05,1
127248077094_0.25,0.25,1
127248077094_0.2,0.2,1
127248077094_0.15,0.15,1
127248077094_0.1,0.1,1
127248077094_0.05,0.05,1
127449669286_0.25,0.25,1
127449669286_0.2,0.2,1
127449669286_0.15,0.15,1
127449669286_0.1,0.1,1
127449669286_0.05,0.05,1
127882616292_0.25,0.25,1
127882616292_0.2,0.2,1
127882616292_0.15,0.15,1
127882616292_0.1,0.1,1
127882616292_0.05,0.05,1
128049943646_0.25,0.25,1
128049943646_0.2,0.2,1
128049943646_0.15,0.15,1
128049943646_0.1,0.1,1
128049943646_0.05,0.05,1
128205305308_0.25,0.25,1
128205305308_0.2,0.2,1
128205305308_0.15,0.15,1
128205305308_0.1,0.1,1
